reviewId|productId|customerId|review|reviewComment|date
84|20|997|10| |27/09/2019
85|50|2119|8| |02/11/2019
86|37|1006|6| |21/10/2018
87|6|1749|5| Smelled great in the store!|28/07/2019
88|30|2070|3| |03/12/2018
89|47|2214|4| |07/10/2018
90|13|1614|1| |01/09/2018
91|43|2601|3| |11/07/2019
92|30|395|6| |13/03/2019
93|24|344|1| |30/07/2018
94|29|330|3| |23/05/2019
95|4|1204|3| |13/12/2018
96|6|1249|7| |17/01/2018
97|39|2887|2| round of applause|25/01/2018
98|46|937|1| Be open later|12/02/2018
99|5|1277|9| |30/04/2018
100|11|2315|10| |07/01/2019
101|34|536|1| Would recommend to a friend or enemy|10/11/2018
102|48|1741|6| Enjoyed the cream cheese icing!|11/04/2018
103|35|866|9| |06/02/2019
104|22|2855|9| |04/12/2018
105|5|1645|2| |11/03/2019
106|8|2820|9| |15/02/2018
107|20|2822|6| |10/12/2018
108|37|2612|5| |31/10/2019
109|46|2435|3| |06/07/2018
110|32|2012|8| |27/05/2018
111|50|1300|4| |08/11/2019
112|14|2510|4| |19/03/2019
113|1|2897|1| |25/06/2018
114|3|2611|6| this makes me want to...|15/02/2018
115|43|1936|7| Would recommend to a friend or enemy|21/07/2019
116|40|2325|10| |17/01/2019
117|28|2309|3| Would recommend to a friend or enemy|24/05/2019
118|14|2935|8| |30/01/2019
119|38|160|1| |23/06/2019
120|2|1239|3| |18/10/2019
121|24|64|7| |07/10/2018
122|22|1732|5| |02/11/2018
123|27|1885|7| |13/04/2018
124|26|1627|7| |10/10/2019
125|37|2589|7| Enjoyed the cream cheese icing!|20/09/2018
126|2|1110|2| Cheescake is the best!|19/05/2019
127|28|1131|5| |04/05/2019
128|43|559|5| round of applause|19/04/2018
129|40|1897|5| thumbs up or down|25/07/2019
130|35|2152|7| |10/08/2018
131|23|1522|9| |09/07/2019
132|27|988|5| |24/08/2018
133|39|171|2| |26/12/2018
134|16|981|10| |23/11/2018
135|49|1386|1| |09/11/2018
136|36|842|10| |27/11/2017
137|15|2840|3| |01/03/2018
138|21|1666|4| thumbs up or down|03/03/2018
139|28|2349|1| I want to open my own bakery|19/03/2019
140|29|1207|8| |29/09/2019
141|29|487|5| Wasn't too bad|06/02/2019
142|16|1320|5| Wasn't too bad|19/02/2018
143|45|2701|7| |21/07/2019
144|44|1023|9| |10/02/2018
145|23|1544|7| |24/04/2018
146|5|484|7| |22/08/2019
147|39|2588|9| |24/07/2018
148|10|2248|6| |11/03/2019
149|28|1634|8| |30/12/2018
150|32|859|4| |14/11/2018
151|19|2631|3| |09/08/2019
152|29|2227|5| |09/02/2018
153|3|2381|5| |07/02/2019
154|6|1712|2| |14/11/2019
155|42|2804|2| |14/08/2018
156|30|2578|9| |08/04/2018
157|5|82|7| |28/03/2018
158|17|1616|10| |12/11/2018
159|44|2933|3| Well organized|21/03/2019
160|43|1936|8| |20/09/2018
161|46|2193|2| |25/01/2018
162|36|1716|1| |14/02/2018
163|39|301|10| |27/02/2018
164|3|2719|6| |15/12/2018
165|37|1255|3| thumbs up or down|26/08/2019
166|44|1432|3| |16/07/2019
167|21|660|1| |04/12/2018
168|6|1536|4| |24/05/2018
169|13|1301|2| |11/03/2019
170|8|1316|4| this makes me want to...|21/11/2017
171|16|1577|7| Perfect for my daughters birthday!|10/11/2018
172|37|1589|7| |17/08/2019
173|27|2724|5| thumbs up or down|03/04/2019
174|18|1216|8| |21/09/2018
175|26|165|2| |26/04/2019
176|7|1744|4| |11/05/2019
177|25|869|10| |13/12/2018
178|10|2644|2| |25/12/2018
179|4|2903|6| |25/11/2017
180|38|2767|5| |12/09/2019
181|27|668|6| |26/07/2018
182|17|1198|4| Wasn't too bad|09/03/2019
183|16|949|2| |12/12/2017
184|46|1441|5| |05/05/2019
185|18|2549|7| |29/09/2019
186|50|1431|10| |13/07/2019
187|37|933|1| |13/11/2018
188|14|2232|3| |22/05/2018
189|50|707|3| |22/05/2019
190|7|2221|9| |24/09/2018
191|7|783|8| |08/04/2019
192|35|2089|5| |10/05/2018
193|48|2730|5| |27/04/2018
194|25|521|3| thumbs up or down|01/08/2018
195|12|2887|7| |11/09/2018
196|36|1915|7| Super fun|23/08/2019
197|30|137|10| |15/05/2018
198|40|633|4| Be open later|31/01/2019
199|21|2665|5| |08/08/2018
200|20|321|9| |09/08/2019
201|41|247|4| Wasn't too bad|08/06/2018
202|9|885|2| |19/01/2018
203|50|54|9| Perfect for my daughters birthday!|06/06/2019
204|3|469|5||12/11/2019
205|27|131|7| Perfect for my daughters birthday!|20/06/2019
206|25|2209|9| |28/03/2019
207|6|648|9| |13/03/2019
208|23|2637|5| |15/09/2018
209|41|1665|2||07/05/2018
210|17|493|7| A little too sweet for me!|07/09/2018
211|34|93|3| |05/10/2018
212|48|767|7| |10/04/2018
213|41|998|1| |25/07/2019
214|2|1845|2| |19/02/2019
215|18|554|6| |03/04/2018
216|3|1342|1| |29/01/2018
217|38|500|4| Enjoyed the cream cheese icing!|24/05/2018
218|30|2831|8| Enjoyed the cream cheese icing!|21/07/2018
219|44|2481|4| |24/04/2019
220|29|2543|3| |10/05/2019
221|28|1339|1| round of applause|20/01/2019
222|49|1087|4| Would recommend to a friend or enemy|10/04/2019
223|21|1735|1| |03/06/2018
224|35|865|7| |25/07/2019
225|17|902|1| |08/12/2017
226|9|1672|8| |13/05/2019
227|31|2547|6| |30/03/2018
228|8|1397|5| |02/05/2018
229|22|1835|7| |09/03/2018
230|44|1404|9| |21/09/2018
231|12|542|6| |21/09/2019
232|42|2449|7| |09/01/2018
233|4|938|8| Wasn't too bad|15/05/2018
234|13|721|2| |22/05/2019
235|35|909|9| thumbs up or down|15/07/2019
236|43|1557|3| |30/11/2018
237|31|1344|2| |12/01/2019
238|1|1466|4| |23/04/2018
239|21|1046|9| |22/01/2019
240|36|2704|7| Well organized|17/02/2019
241|44|115|7| |05/08/2019
242|27|2223|4| |14/09/2019
243|38|1281|7| Would recommend to a friend or enemy|01/06/2018
244|15|929|5| |09/11/2019
245|28|1951|6| |12/07/2018
246|4|2085|6| Customer service was fabulous|03/01/2019
247|14|2772|8| |11/02/2019
248|26|1982|7| |02/07/2018
249|48|2709|1| |09/12/2017
250|24|1865|3| |09/10/2018
251|48|2741|9| |01/03/2018
252|40|2003|6| |23/02/2018
253|13|392|9| |13/11/2018
254|24|2223|3| |15/05/2019
255|26|1534|1| They need to sell carrot cake!|10/04/2018
256|50|268|10| |14/07/2019
257|50|2718|5| |09/08/2019
258|24|1549|2| |14/07/2018
259|3|449|10| |26/05/2018
260|7|1340|10| |15/11/2019
261|28|2757|6| |20/02/2019
262|23|2809|9| |08/11/2019
263|37|777|3| |10/11/2018
264|47|2028|4| |06/05/2019
265|15|2397|3| |17/12/2017
266|38|2901|1| |08/08/2018
267|14|1047|9| |20/10/2019
268|1|1944|10| |25/08/2018
269|20|2000|7| |16/04/2019
270|8|2874|1| |31/07/2018
271|46|1693|4| |30/09/2018
272|7|619|3| |08/07/2018
273|18|1559|6| |22/12/2018
274|3|1577|3| |11/02/2019
275|46|2431|2| round of applause|23/11/2017
276|41|2664|4| |26/09/2019
277|2|1652|2| They need to sell carrot cake!|31/08/2019
278|38|721|9| Customer service was fabulous|31/07/2019
279|2|11|6| |17/12/2018
280|47|2980|5| |08/07/2019
281|20|950|6| |03/03/2019
282|45|2890|10| A little too sweet for me!|19/03/2019
283|36|1383|2| |28/06/2019
284|32|1530|9| |11/09/2018
285|48|1225|9| Be open later|01/09/2019
286|34|2177|5| |28/03/2019
287|8|2382|9| Smelled great in the store!|22/08/2019
288|11|1862|3| |27/10/2018
289|45|797|7| |20/06/2018
290|39|72|3| |28/04/2019
291|42|2411|8| |24/04/2019
292|46|92|8| |17/08/2018
293|48|8|6| |29/05/2019
294|13|537|9| |19/02/2019
295|3|2010|5| Well organized|26/05/2019
296|18|1750|7| |28/07/2018
297|7|248|10| |18/12/2017
298|37|1729|4| |24/07/2019
299|50|541|10| |03/04/2018
300|13|1500|1| A little too sweet for me!|26/10/2019
